Date,Temperature_Celsius,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Month,Month_Name,Season,Day_of_Week,Week_Number,Weather_Condition
2023-01-21,34.5,80,1.14,27.1,1002.5,1,January,Winter,Saturday,3,Hot
2023-01-22,29.6,88,0.09,12.2,1006.8,1,January,Winter,Sunday,3,Pleasant
2023-01-23,30.7,53,0.63,8.3,1032.1,1,January,Winter,Monday,4,Hot
2023-01-24,26.5,54,0.21,15.6,1011.1,1,January,Winter,Tuesday,4,Pleasant
2023-01-25,29.4,70,0.09,13.6,1015.2,1,January,Winter,Wednesday,4,Pleasant
2023-01-26,31.6,40,6.8999999999999995,13.9,1021.7,1,January,Winter,Thursday,4,Hot
2023-01-27,28.0,92,0.57,12.0,1018.0,1,January,Winter,Friday,4,Pleasant
2023-01-28,32.9,93,2.49,6.3,1014.5,1,January,Winter,Saturday,4,Hot
2023-01-29,30.2,93,0.44999999999999996,5.5,1016.6,1,January,Winter,Sunday,4,Hot
2023-01-30,31.3,42,1.71,34.6,1037.0,1,January,Winter,Monday,5,Hot
2023-01-31,30.6,55,2.13,17.8,1012.4,1,January,Winter,Tuesday,5,Hot
2023-02-01,38.2,62,1.3499999999999999,16.5,1015.0,2,February,Winter,Wednesday,5,Hot
2023-02-02,32.8,50,0.96,25.4,1023.5,2,February,Winter,Thursday,5,Hot
2023-02-03,29.9,51,0.81,11.5,1024.1,2,February,Winter,Friday,5,Pleasant
2023-02-04,35.8,49,0.63,33.5,1024.9,2,February,Winter,Saturday,5,Hot
2023-02-05,29.8,71,3.99,28.6,1019.4,2,February,Winter,Sunday,5,Pleasant
2023-02-06,34.3,55,2.67,7.7,1001.6,2,February,Winter,Monday,6,Hot
2023-02-07,28.0,47,5.04,17.5,1029.3,2,February,Winter,Tuesday,6,Pleasant
2023-02-08,30.1,77,0.21,31.4,1001.5,2,February,Winter,Wednesday,6,Hot
2023-02-09,34.9,51,1.9799999999999998,33.3,1016.0,2,February,Winter,Thursday,6,Hot
2023-02-10,36.7,63,4.17,19.0,1005.5,2,February,Winter,Friday,6,Hot
2023-02-11,35.2,67,0.3,23.4,1012.4,2,February,Winter,Saturday,6,Hot
2023-02-12,34.6,92,0.09,10.0,1016.3,2,February,Winter,Sunday,6,Hot
2023-02-13,34.2,47,2.04,34.7,1016.2,2,February,Winter,Monday,7,Hot
2023-02-14,30.9,67,1.2899999999999998,12.0,1017.2,2,February,Winter,Tuesday,7,Hot
2023-02-15,33.3,75,2.76,33.3,1029.1,2,February,Winter,Wednesday,7,Hot
2023-02-16,34.3,65,0.24,24.5,1017.5,2,February,Winter,Thursday,7,Hot
2023-02-17,39.0,47,2.37,23.2,1010.6,2,February,Winter,Friday,7,Hot
2023-02-18,37.1,89,0.33,20.4,1022.6,2,February,Winter,Saturday,7,Hot
2023-02-19,30.9,67,0.27,11.9,1024.9,2,February,Winter,Sunday,7,Hot
2023-02-20,37.3,67,0.27,10.3,1000.7,2,February,Winter,Monday,8,Hot
2023-02-21,35.4,76,2.52,11.6,1019.0,2,February,Winter,Tuesday,8,Hot
2023-02-22,34.7,80,1.65,10.6,1020.0,2,February,Winter,Wednesday,8,Hot
2023-02-23,38.7,75,1.11,28.4,1010.0,2,February,Winter,Thursday,8,Hot
2023-02-24,40.1,66,0.66,15.5,1026.8,2,February,Winter,Friday,8,Hot
2023-02-25,40.0,93,3.15,6.7,1011.5,2,February,Winter,Saturday,8,Hot
2023-02-26,34.8,56,0.75,34.1,1014.3,2,February,Winter,Sunday,8,Hot
2023-02-27,36.5,48,2.55,31.5,1011.3,2,February,Winter,Monday,9,Hot
2023-02-28,38.6,72,0.87,32.8,1013.2,2,February,Winter,Tuesday,9,Hot
2023-03-01,40.7,92,2.4,34.8,1002.0,3,March,Spring,Wednesday,9,Hot
2023-03-02,36.4,59,3.1,10.2,998.6,3,March,Spring,Thursday,9,Hot
2023-03-03,37.5,52,1.8,16.9,1028.9,3,March,Spring,Friday,9,Hot
2023-03-04,34.8,67,6.9,27.7,1004.5,3,March,Spring,Saturday,9,Hot
2023-03-05,34.7,87,3.5,25.9,1003.1,3,March,Spring,Sunday,9,Hot
2023-03-06,40.8,68,1.3,9.6,991.5,3,March,Spring,Monday,10,Hot
2023-03-07,42.6,52,11.5,29.5,1006.6,3,March,Spring,Tuesday,10,Rainy
2023-03-08,38.4,85,2.4,11.7,999.8,3,March,Spring,Wednesday,10,Hot
2023-03-09,41.7,74,3.9,11.7,1029.4,3,March,Spring,Thursday,10,Hot
2023-03-10,39.9,45,11.8,21.1,1023.1,3,March,Spring,Friday,10,Rainy
2023-03-11,37.0,57,4.9,22.8,1006.1,3,March,Spring,Saturday,10,Hot
2023-03-12,40.1,90,0.6,22.4,1035.5,3,March,Spring,Sunday,10,Hot
2023-03-13,43.7,44,14.1,7.7,1022.8,3,March,Spring,Monday,11,Rainy
2023-03-14,39.1,86,4.9,31.3,1009.8,3,March,Spring,Tuesday,11,Hot
2023-03-15,44.0,64,2.0,13.0,988.0,3,March,Spring,Wednesday,11,Hot
2023-03-16,31.5,41,0.7,8.9,1035.9,3,March,Spring,Thursday,11,Hot
2023-03-17,41.9,49,7.9,31.7,999.1,3,March,Spring,Friday,11,Hot
2023-03-18,39.7,69,4.8,33.7,996.5,3,March,Spring,Saturday,11,Hot
2023-03-19,38.7,89,3.8,30.9,1023.2,3,March,Spring,Sunday,11,Hot
2023-03-20,39.9,84,11.2,29.3,1037.4,3,March,Spring,Monday,12,Rainy
2023-03-21,33.7,44,7.8,24.7,1026.8,3,March,Spring,Tuesday,12,Hot
2023-03-22,39.1,94,0.8,21.5,1018.6,3,March,Spring,Wednesday,12,Hot
2023-03-23,40.8,72,1.9,7.6,1018.9,3,March,Spring,Thursday,12,Hot
2023-03-24,44.2,93,1.4,17.3,1021.5,3,March,Spring,Friday,12,Hot
2023-03-25,38.3,40,6.8,16.2,1020.6,3,March,Spring,Saturday,12,Hot
2023-03-26,37.5,57,0.2,12.8,1015.8,3,March,Spring,Sunday,12,Hot
2023-03-27,38.4,71,4.2,26.7,1014.0,3,March,Spring,Monday,13,Hot
2023-03-28,42.7,86,7.2,19.9,1012.4,3,March,Spring,Tuesday,13,Hot
2023-03-29,40.9,88,10.5,7.4,1005.5,3,March,Spring,Wednesday,13,Rainy
2023-03-30,38.4,50,2.1,11.6,1010.2,3,March,Spring,Thursday,13,Hot
2023-03-31,41.5,60,8.6,25.5,996.1,3,March,Spring,Friday,13,Hot
2023-04-01,40.3,65,0.6,7.3,1012.0,4,April,Spring,Saturday,13,Hot
2023-04-02,42.9,64,9.4,30.5,1003.1,4,April,Spring,Sunday,13,Hot
2023-04-03,37.9,61,0.7,19.9,1002.0,4,April,Spring,Monday,14,Hot
2023-04-04,39.0,66,2.5,19.4,1014.8,4,April,Spring,Tuesday,14,Hot
2023-04-05,38.8,88,8.0,22.8,1026.9,4,April,Spring,Wednesday,14,Hot
2023-04-06,35.6,52,0.8,29.7,1022.2,4,April,Spring,Thursday,14,Hot
2023-04-07,40.8,72,1.3,15.4,997.3,4,April,Spring,Friday,14,Hot
2023-04-08,40.7,73,6.4,25.3,1003.1,4,April,Spring,Saturday,14,Hot
2023-04-09,39.9,80,6.4,22.0,1022.4,4,April,Spring,Sunday,14,Hot
2023-04-10,39.2,74,5.1,13.0,1003.2,4,April,Spring,Monday,15,Hot
2023-04-11,35.6,40,5.9,31.4,1010.8,4,April,Spring,Tuesday,15,Hot
2023-04-12,38.5,60,3.9,28.9,1018.5,4,April,Spring,Wednesday,15,Hot
2023-04-13,38.7,87,1.5,24.8,1003.3,4,April,Spring,Thursday,15,Hot
2023-04-14,37.3,94,2.1,30.5,1014.1,4,April,Spring,Friday,15,Hot
2023-04-15,39.2,45,1.0,31.0,999.7,4,April,Spring,Saturday,15,Hot
2023-04-16,40.8,67,12.0,26.3,1007.0,4,April,Spring,Sunday,15,Rainy
2023-04-17,45.2,56,4.4,30.1,1016.2,4,April,Spring,Monday,16,Hot
2023-04-18,40.0,44,2.6,25.9,997.1,4,April,Spring,Tuesday,16,Hot
2023-04-19,40.2,70,3.1,25.4,1017.4,4,April,Spring,Wednesday,16,Hot
2023-04-20,39.1,44,14.7,23.6,1012.8,4,April,Spring,Thursday,16,Rainy
2023-04-21,33.5,77,0.8,27.6,1018.5,4,April,Spring,Friday,16,Hot
2023-04-22,39.1,42,4.4,9.8,1015.2,4,April,Spring,Saturday,16,Hot
2023-04-23,39.2,92,3.5,31.4,1026.6,4,April,Spring,Sunday,16,Hot
2023-04-24,46.4,62,4.7,31.2,1014.3,4,April,Spring,Monday,17,Hot
2023-04-25,38.3,76,0.1,5.9,1008.7,4,April,Spring,Tuesday,17,Hot
2023-04-26,39.7,92,10.3,29.8,1014.2,4,April,Spring,Wednesday,17,Rainy
2023-04-27,38.6,76,13.4,8.9,1018.4,4,April,Spring,Thursday,17,Rainy
2023-04-28,35.0,49,4.2,15.1,1013.5,4,April,Spring,Friday,17,Hot
2023-04-29,41.9,49,6.0,27.3,1013.4,4,April,Spring,Saturday,17,Hot
2023-04-30,40.6,58,12.8,9.8,1006.0,4,April,Spring,Sunday,17,Rainy
2023-05-01,40.6,56,6.1,29.5,1006.4,5,May,Spring,Monday,18,Hot
2023-05-02,35.3,60,0.8,30.0,999.0,5,May,Spring,Tuesday,18,Hot
2023-05-03,42.2,53,4.3,20.2,1030.5,5,May,Spring,Wednesday,18,Hot
2023-05-04,33.6,48,4.7,5.2,1000.6,5,May,Spring,Thursday,18,Hot
2023-05-05,39.4,85,2.8,13.6,1006.1,5,May,Spring,Friday,18,Hot
2023-05-06,44.1,40,6.7,23.5,1005.8,5,May,Spring,Saturday,18,Hot
2023-05-07,34.4,90,13.6,34.4,1021.9,5,May,Spring,Sunday,18,Rainy
2023-05-08,35.5,84,13.0,24.0,1010.1,5,May,Spring,Monday,19,Rainy
2023-05-09,37.4,52,3.0,12.8,1025.5,5,May,Spring,Tuesday,19,Hot
2023-05-10,35.4,43,0.6,24.0,1006.3,5,May,Spring,Wednesday,19,Hot
2023-05-11,32.1,40,20.9,21.2,1015.8,5,May,Spring,Thursday,19,Rainy
2023-05-12,36.8,88,9.1,28.4,1004.6,5,May,Spring,Friday,19,Hot
2023-05-13,33.3,79,0.7,8.2,1034.5,5,May,Spring,Saturday,19,Hot
2023-05-14,37.7,71,12.7,27.8,1001.1,5,May,Spring,Sunday,19,Rainy
2023-05-15,33.4,73,10.2,21.2,1016.1,5,May,Spring,Monday,20,Rainy
2023-05-16,40.6,67,3.7,33.9,1019.3,5,May,Spring,Tuesday,20,Hot
2023-05-17,33.4,70,4.5,15.3,1017.1,5,May,Spring,Wednesday,20,Hot
2023-05-18,34.6,47,2.5,24.0,1011.1,5,May,Spring,Thursday,20,Hot
2023-05-19,37.8,78,0.3,33.0,1011.7,5,May,Spring,Friday,20,Hot
2023-05-20,31.5,65,2.0,8.1,1013.4,5,May,Spring,Saturday,20,Hot
2023-05-21,35.7,73,8.1,33.1,1011.5,5,May,Spring,Sunday,20,Hot
2023-05-22,38.7,93,0.0,25.6,1022.6,5,May,Spring,Monday,21,Hot
2023-05-23,29.8,93,2.0,7.0,1035.1,5,May,Spring,Tuesday,21,Pleasant
2023-05-24,35.0,42,2.5,14.0,1007.4,5,May,Spring,Wednesday,21,Hot
2023-05-25,35.0,89,3.9,26.2,999.3,5,May,Spring,Thursday,21,Hot
2023-05-26,36.4,51,12.6,7.0,1012.1,5,May,Spring,Friday,21,Rainy
2023-05-27,30.1,40,2.1,22.5,1038.8,5,May,Spring,Saturday,21,Hot
2023-05-28,29.6,93,2.1,15.4,1005.0,5,May,Spring,Sunday,21,Pleasant
2023-05-29,35.0,83,6.7,23.6,1029.4,5,May,Spring,Monday,22,Hot
2023-05-30,34.1,44,3.0,6.4,1029.8,5,May,Spring,Tuesday,22,Hot
2023-05-31,33.7,69,1.3,31.1,1007.5,5,May,Spring,Wednesday,22,Hot
2023-06-01,33.8,69,9.0,34.2,1018.7,6,June,Summer,Thursday,22,Hot
2023-06-02,30.5,56,2.4000000000000004,34.1,1029.3,6,June,Summer,Friday,22,Hot
2023-06-03,33.0,87,3.0,27.5,1009.2,6,June,Summer,Saturday,22,Hot
2023-06-04,32.9,86,10.2,8.9,1011.0,6,June,Summer,Sunday,22,Rainy
2023-06-05,29.7,62,8.100000000000001,27.7,1007.2,6,June,Summer,Monday,23,Pleasant
2023-06-06,37.2,54,36.900000000000006,5.7,1002.9,6,June,Summer,Tuesday,23,Rainy
2023-06-07,32.8,76,6.8999999999999995,5.7,1006.5,6,June,Summer,Wednesday,23,Hot
2023-06-08,27.6,60,12.899999999999999,14.7,1000.8,6,June,Summer,Thursday,23,Rainy
2023-06-09,32.9,53,15.0,19.7,1013.3,6,June,Summer,Friday,23,Rainy
2023-06-10,27.7,41,0.30000000000000004,28.1,1005.3,6,June,Summer,Saturday,23,Pleasant
2023-06-11,32.8,50,16.200000000000003,25.5,1015.3,6,June,Summer,Sunday,23,Rainy
2023-06-12,33.7,90,3.0,18.4,997.4,6,June,Summer,Monday,24,Hot
2023-06-13,27.5,78,48.599999999999994,13.2,1016.3,6,June,Summer,Tuesday,24,Rainy
2023-06-14,32.6,77,2.4000000000000004,34.9,1021.3,6,June,Summer,Wednesday,24,Hot
2023-06-15,30.7,73,8.100000000000001,17.8,993.1,6,June,Summer,Thursday,24,Hot
2023-06-16,31.7,77,1.2000000000000002,18.5,1016.7,6,June,Summer,Friday,24,Hot
2023-06-17,34.6,89,86.4,9.9,1025.3,6,June,Summer,Saturday,24,Rainy
2023-06-18,28.0,73,10.5,28.8,1000.9,6,June,Summer,Sunday,24,Rainy
2023-06-19,26.2,57,13.5,25.8,1029.7,6,June,Summer,Monday,25,Rainy
2023-06-20,25.5,69,0.8999999999999999,11.6,1017.2,6,June,Summer,Tuesday,25,Pleasant
2023-06-21,25.5,54,20.700000000000003,7.5,1005.9,6,June,Summer,Wednesday,25,Rainy
2023-06-22,27.5,66,3.5999999999999996,25.4,1012.4,6,June,Summer,Thursday,25,Pleasant
2023-06-23,28.5,90,34.2,24.6,1018.6,6,June,Summer,Friday,25,Rainy
2023-06-24,28.0,73,3.3000000000000003,13.2,1013.8,6,June,Summer,Saturday,25,Pleasant
2023-06-25,29.4,91,3.3000000000000003,33.5,1018.4,6,June,Summer,Sunday,25,Pleasant
2023-06-26,26.7,77,0.6000000000000001,9.5,1003.8,6,June,Summer,Monday,26,Pleasant
2023-06-27,30.8,72,9.600000000000001,18.0,1014.7,6,June,Summer,Tuesday,26,Hot
2023-06-28,25.4,63,12.600000000000001,33.3,998.9,6,June,Summer,Wednesday,26,Rainy
2023-06-29,34.1,54,0.8999999999999999,17.6,1011.9,6,June,Summer,Thursday,26,Hot
2023-06-30,27.5,69,22.5,24.2,1004.0,6,June,Summer,Friday,26,Rainy
2023-07-01,22.8,94,9.0,16.9,1005.6,7,July,Summer,Saturday,26,Pleasant
2023-07-02,21.9,81,11.100000000000001,13.2,1025.4,7,July,Summer,Sunday,26,Rainy
2023-07-03,26.3,90,8.7,34.5,1023.9,7,July,Summer,Monday,27,Pleasant
2023-07-04,23.9,56,7.800000000000001,17.3,1019.1,7,July,Summer,Tuesday,27,Pleasant
2023-07-05,26.5,44,12.299999999999999,31.8,1002.1,7,July,Summer,Wednesday,27,Rainy
2023-07-06,25.5,68,2.4000000000000004,11.9,1009.8,7,July,Summer,Thursday,27,Pleasant
2023-07-07,23.6,43,3.0,11.4,1025.1,7,July,Summer,Friday,27,Pleasant
2023-07-08,21.0,49,29.700000000000003,5.9,1014.4,7,July,Summer,Saturday,27,Rainy
2023-07-09,18.8,56,43.8,24.6,1036.2,7,July,Summer,Sunday,27,Rainy
2023-07-10,21.7,49,6.8999999999999995,16.1,1016.9,7,July,Summer,Monday,28,Pleasant
2023-07-11,25.4,56,4.800000000000001,30.9,1014.9,7,July,Summer,Tuesday,28,Pleasant
2023-07-12,23.2,59,15.600000000000001,19.2,1009.9,7,July,Summer,Wednesday,28,Rainy
2023-07-13,18.6,63,7.800000000000001,34.0,1014.3,7,July,Summer,Thursday,28,Pleasant
2023-07-14,22.6,44,0.30000000000000004,10.6,1011.5,7,July,Summer,Friday,28,Pleasant
2023-07-15,23.0,73,2.4000000000000004,31.1,1020.1,7,July,Summer,Saturday,28,Pleasant
2023-07-16,18.9,45,18.9,28.3,1022.6,7,July,Summer,Sunday,28,Rainy
2023-07-17,21.8,92,16.200000000000003,28.1,1005.1,7,July,Summer,Monday,29,Rainy
2023-07-18,21.2,41,0.30000000000000004,30.3,999.7,7,July,Summer,Tuesday,29,Pleasant
2023-07-19,17.4,52,3.9000000000000004,27.8,994.6,7,July,Summer,Wednesday,29,Pleasant
2023-07-20,21.6,82,3.9000000000000004,23.8,1018.1,7,July,Summer,Thursday,29,Pleasant
2023-07-21,22.0,82,16.799999999999997,8.9,1002.0,7,July,Summer,Friday,29,Rainy
2023-07-22,23.3,87,0.30000000000000004,6.0,991.5,7,July,Summer,Saturday,29,Pleasant
2023-07-23,23.0,50,1.5,32.6,1016.9,7,July,Summer,Sunday,29,Pleasant
2023-07-24,15.4,90,24.0,23.5,1037.9,7,July,Summer,Monday,30,Rainy
2023-07-25,16.5,86,3.0,28.9,1012.9,7,July,Summer,Tuesday,30,Pleasant
2023-07-26,20.6,62,15.899999999999999,19.4,1021.4,7,July,Summer,Wednesday,30,Rainy
2023-07-27,20.4,94,4.199999999999999,8.5,1013.8,7,July,Summer,Thursday,30,Pleasant
2023-07-28,20.2,55,1.5,8.8,1012.0,7,July,Summer,Friday,30,Pleasant
2023-07-29,30.0,70,4.199999999999999,25.6,1022.2,7,July,Summer,Saturday,30,Pleasant
2023-07-30,19.9,50,19.200000000000003,17.9,1010.1,7,July,Summer,Sunday,30,Rainy
2023-07-31,21.3,93,29.099999999999998,11.0,1015.7,7,July,Summer,Monday,31,Rainy
2023-08-01,20.6,55,26.700000000000003,19.7,1016.2,8,August,Summer,Tuesday,31,Rainy
2023-08-02,19.4,47,7.5,6.9,1006.3,8,August,Summer,Wednesday,31,Pleasant
2023-08-03,16.3,43,16.5,22.5,1022.9,8,August,Summer,Thursday,31,Rainy
2023-08-04,19.3,79,3.3000000000000003,13.1,1011.3,8,August,Summer,Friday,31,Pleasant
2023-08-05,14.5,43,5.1,28.9,1005.4,8,August,Summer,Saturday,31,Cold
2023-08-06,15.9,64,33.900000000000006,14.3,1018.4,8,August,Summer,Sunday,31,Rainy
2023-08-07,14.9,42,0.30000000000000004,18.7,1004.0,8,August,Summer,Monday,32,Cold
2023-08-08,16.4,71,1.2000000000000002,5.3,1013.3,8,August,Summer,Tuesday,32,Pleasant
2023-08-09,22.9,42,3.5999999999999996,7.2,1012.9,8,August,Summer,Wednesday,32,Pleasant
2023-08-10,10.2,66,0.30000000000000004,16.8,1023.9,8,August,Summer,Thursday,32,Cold
2023-08-11,17.6,68,3.0,19.4,1017.7,8,August,Summer,Friday,32,Pleasant
2023-08-12,10.5,71,13.200000000000001,23.0,1012.7,8,August,Summer,Saturday,32,Rainy
2023-08-13,13.8,89,8.100000000000001,13.7,1021.2,8,August,Summer,Sunday,32,Cold
2023-08-14,18.2,90,33.599999999999994,25.8,1026.9,8,August,Summer,Monday,33,Rainy
2023-08-15,15.0,58,25.5,30.8,1018.6,8,August,Summer,Tuesday,33,Rainy
2023-08-16,11.4,60,6.300000000000001,28.4,1013.1,8,August,Summer,Wednesday,33,Cold
2023-08-17,12.3,44,4.5,6.2,999.9,8,August,Summer,Thursday,33,Cold
2023-08-18,16.3,57,7.199999999999999,19.4,1002.3,8,August,Summer,Friday,33,Pleasant
2023-08-19,11.9,67,13.5,8.1,1009.9,8,August,Summer,Saturday,33,Rainy
2023-08-20,14.5,81,4.800000000000001,12.3,1006.9,8,August,Summer,Sunday,33,Cold
2023-08-21,13.8,61,14.700000000000001,34.6,1011.1,8,August,Summer,Monday,34,Rainy
2023-08-22,11.6,60,7.800000000000001,9.3,1013.6,8,August,Summer,Tuesday,34,Cold
2023-08-23,19.8,45,12.0,20.0,1018.3,8,August,Summer,Wednesday,34,Rainy
2023-08-24,15.1,40,8.7,23.5,1012.3,8,August,Summer,Thursday,34,Pleasant
2023-08-25,7.0,44,5.1,26.1,1017.9,8,August,Summer,Friday,34,Cold
2023-08-26,13.5,80,44.400000000000006,21.8,1013.6,8,August,Summer,Saturday,34,Rainy
2023-08-27,10.8,51,21.6,5.3,993.2,8,August,Summer,Sunday,34,Rainy
2023-08-28,15.2,65,2.4000000000000004,14.8,1003.6,8,August,Summer,Monday,35,Pleasant
2023-08-29,10.1,85,30.299999999999997,20.5,1011.6,8,August,Summer,Tuesday,35,Rainy
2023-08-30,12.0,73,9.899999999999999,7.6,1000.9,8,August,Summer,Wednesday,35,Cold
2023-08-31,13.7,88,33.599999999999994,15.5,1019.0,8,August,Summer,Thursday,35,Rainy
2023-09-01,14.7,53,24.0,6.0,1028.3,9,September,Autumn,Friday,35,Rainy
2023-09-02,8.3,65,8.399999999999999,7.4,1025.2,9,September,Autumn,Saturday,35,Cold
2023-09-03,10.8,84,0.30000000000000004,16.9,1010.9,9,September,Autumn,Sunday,35,Cold
2023-09-04,10.3,66,4.800000000000001,9.0,1027.9,9,September,Autumn,Monday,36,Cold
2023-09-05,9.6,48,11.7,22.0,1014.5,9,September,Autumn,Tuesday,36,Rainy
2023-09-06,16.7,65,15.0,25.7,1009.6,9,September,Autumn,Wednesday,36,Rainy
2023-09-07,12.6,86,4.5,29.0,1006.9,9,September,Autumn,Thursday,36,Cold
2023-09-08,7.5,61,2.4000000000000004,11.0,1010.0,9,September,Autumn,Friday,36,Cold
2023-09-09,13.9,86,27.0,10.0,1009.1,9,September,Autumn,Saturday,36,Rainy
2023-09-10,17.4,69,62.400000000000006,8.1,1014.7,9,September,Autumn,Sunday,36,Rainy
2023-09-11,14.0,82,11.100000000000001,24.1,1014.6,9,September,Autumn,Monday,37,Rainy
2023-09-12,6.3,87,2.7,26.2,1013.0,9,September,Autumn,Tuesday,37,Cold
2023-09-13,9.3,56,4.800000000000001,5.9,1017.4,9,September,Autumn,Wednesday,37,Cold
2023-09-14,14.5,65,0.30000000000000004,33.1,1024.9,9,September,Autumn,Thursday,37,Cold
2023-09-15,8.5,75,36.900000000000006,6.6,1022.5,9,September,Autumn,Friday,37,Rainy
2023-09-16,11.9,40,1.7999999999999998,21.2,998.2,9,September,Autumn,Saturday,37,Cold
2023-09-17,12.8,47,12.899999999999999,26.3,987.5,9,September,Autumn,Sunday,37,Rainy
2023-09-18,7.6,88,4.800000000000001,31.1,1022.3,9,September,Autumn,Monday,38,Cold
2023-09-19,10.2,74,12.0,26.4,999.3,9,September,Autumn,Tuesday,38,Rainy
2023-09-20,0.6,91,15.899999999999999,29.1,1010.8,9,September,Autumn,Wednesday,38,Rainy
2023-09-21,7.2,54,26.700000000000003,15.2,1001.3,9,September,Autumn,Thursday,38,Rainy
2023-09-22,9.5,86,3.5999999999999996,29.4,995.0,9,September,Autumn,Friday,38,Cold
2023-09-23,6.4,61,0.30000000000000004,7.4,1018.4,9,September,Autumn,Saturday,38,Cold
2023-09-24,15.0,53,2.0999999999999996,31.8,1020.6,9,September,Autumn,Sunday,38,Pleasant
2023-09-25,5.8,65,34.5,21.4,1007.2,9,September,Autumn,Monday,39,Rainy
2023-09-26,8.8,67,31.200000000000003,29.5,987.1,9,September,Autumn,Tuesday,39,Rainy
2023-09-27,10.4,62,13.5,18.6,1007.5,9,September,Autumn,Wednesday,39,Rainy
2023-09-28,14.4,53,13.799999999999999,24.3,1016.9,9,September,Autumn,Thursday,39,Rainy
2023-09-29,5.7,63,16.5,20.8,998.2,9,September,Autumn,Friday,39,Rainy
2023-09-30,13.5,41,3.0,26.9,1014.8,9,September,Autumn,Saturday,39,Cold
2023-10-01,10.0,84,12.3,7.4,1012.8,10,October,Autumn,Sunday,39,Rainy
2023-10-02,7.1,65,2.7,6.8,1018.8,10,October,Autumn,Monday,40,Cold
2023-10-03,11.4,53,2.4,12.4,1014.2,10,October,Autumn,Tuesday,40,Cold
2023-10-04,10.6,90,3.7,9.8,1003.3,10,October,Autumn,Wednesday,40,Cold
2023-10-05,8.2,46,0.2,31.2,1025.0,10,October,Autumn,Thursday,40,Cold
2023-10-06,10.2,42,0.9,11.6,1011.4,10,October,Autumn,Friday,40,Cold
2023-10-07,8.9,86,6.7,34.3,1012.7,10,October,Autumn,Saturday,40,Cold
2023-10-08,10.4,62,0.4,15.1,1003.7,10,October,Autumn,Sunday,40,Cold
2023-10-09,12.1,85,4.6,10.5,1008.6,10,October,Autumn,Monday,41,Cold
2023-10-10,14.9,82,1.4,28.7,1004.2,10,October,Autumn,Tuesday,41,Cold
2023-10-11,6.5,86,2.5,24.8,1011.3,10,October,Autumn,Wednesday,41,Cold
2023-10-12,16.6,84,1.7,19.9,1030.1,10,October,Autumn,Thursday,41,Pleasant
2023-10-13,4.4,57,2.2,21.7,999.3,10,October,Autumn,Friday,41,Cold
2023-10-14,9.9,77,6.3,26.6,996.9,10,October,Autumn,Saturday,41,Cold
2023-10-15,12.2,74,1.8,11.9,1027.7,10,October,Autumn,Sunday,41,Cold
2023-10-16,11.3,90,4.2,34.9,1010.9,10,October,Autumn,Monday,42,Cold
2023-10-17,8.6,54,3.2,34.2,1006.3,10,October,Autumn,Tuesday,42,Cold
2023-10-18,10.0,64,5.4,24.5,1023.4,10,October,Autumn,Wednesday,42,Cold
2023-10-19,9.2,94,13.8,11.0,1006.9,10,October,Autumn,Thursday,42,Rainy
2023-10-20,9.0,76,6.6,25.4,1031.3,10,October,Autumn,Friday,42,Cold
