Student_ID,Math_Score,English_Score,Science_Score,Social_Studies_Score,Attendance_Percentage,Study_Hours_Per_Week,Average_Score,Pass_Status,Grade
STU0233,51,97,100,65,97,26.4,78.25,Pass,B
STU0234,52,52,63,61,94,35.6,57.0,Pass,D
STU0235,100,45,57,100,85,30.3,75.5,Pass,B
STU0236,55,69,96,75,79,9.2,73.75,Pass,B
STU0237,79,84,100,61,98,36.6,81.0,Pass,A
STU0238,86,74,69,55,82,7.3,71.0,Pass,B
STU0239,99,63,51,74,67,23.7,71.75,Pass,B
STU0240,62,46,100,93,98,10.0,75.25,Pass,B
STU0241,67,100,64,100,77,5.4,82.75,Pass,A
STU0242,80,45,87,87,96,19.8,74.75,Pass,B
STU0243,89,43,49,85,60,15.3,66.5,Pass,C
STU0244,96,92,85,73,94,22.0,86.5,Pass,A
STU0245,50,100,70,61,82,25.2,70.25,Pass,B
STU0246,63,93,43,57,66,6.5,64.0,Pass,C
STU0247,63,100,48,83,55,9.3,73.5,Pass,B
STU0248,60,45,100,74,53,24.6,69.75,Pass,C
STU0249,69,64,79,52,69,17.0,66.0,Pass,C
STU0250,72,94,53,77,97,30.5,74.0,Pass,B
STU0251,100,87,95,73,96,27.8,88.75,Pass,A
STU0252,100,85,64,52,76,34.6,75.25,Pass,B
STU0253,100,44,100,49,64,29.2,73.25,Pass,B
STU0254,86,100,77,94,55,20.0,89.25,Pass,A
STU0255,63,68,100,66,96,28.6,74.25,Pass,B
STU0256,42,100,88,38,63,14.6,67.0,Pass,C
STU0257,73,56,68,100,60,15.7,74.25,Pass,B
STU0258,100,62,100,76,88,32.6,84.5,Pass,A
STU0259,87,49,81,44,58,20.6,65.25,Pass,C
STU0260,60,88,91,58,75,32.9,74.25,Pass,B
STU0261,86,41,100,100,65,33.8,81.75,Pass,A
STU0262,71,53,100,81,54,35.0,76.25,Pass,B
STU0263,88,100,100,79,59,37.1,91.75,Pass,A
STU0264,48,79,100,81,99,20.1,77.0,Pass,B
STU0265,74,73,79,60,52,16.2,71.5,Pass,B
STU0266,64,50,82,98,62,25.4,73.5,Pass,B
STU0267,87,43,77,85,92,18.0,73.0,Pass,B
STU0268,97,75,53,60,98,26.0,71.25,Pass,B
STU0269,100,47,64,100,79,29.7,77.75,Pass,B
STU0270,100,92,87,83,94,29.1,90.5,Pass,A
STU0271,70,47,99,68,55,18.1,71.0,Pass,B
STU0272,70,42,98,75,66,10.8,71.25,Pass,B
STU0273,100,64,93,76,94,20.1,83.25,Pass,A
STU0274,55,47,80,72,68,10.0,63.5,Pass,C
STU0275,70,87,61,45,91,36.2,65.75,Pass,C
STU0276,94,41,88,46,84,17.1,67.25,Pass,C
STU0277,98,53,96,100,95,10.4,86.75,Pass,A
STU0278,100,77,81,77,75,5.9,83.75,Pass,A
STU0279,85,40,100,100,54,27.6,81.25,Pass,A
STU0280,66,100,72,53,78,27.3,72.75,Pass,B
STU0281,72,100,81,87,86,16.9,85.0,Pass,A
STU0282,84,54,99,95,69,7.5,83.0,Pass,A
STU0283,65,50,52,42,98,19.3,52.25,Pass,D
STU0284,100,53,46,97,70,15.9,74.0,Pass,B
STU0285,67,63,88,43,59,28.7,65.25,Pass,C
STU0286,41,76,100,82,54,26.2,74.75,Pass,B
STU0287,58,75,74,66,85,17.8,68.25,Pass,C
STU0288,70,85,61,67,55,12.6,70.75,Pass,B
STU0289,53,100,89,63,75,39.6,76.25,Pass,B
STU0290,81,99,50,45,53,20.9,68.75,Pass,C
STU0291,91,100,78,91,88,29.1,90.0,Pass,A
STU0292,78,89,95,100,88,9.9,90.5,Pass,A
STU0293,85,51,76,84,99,22.0,74.0,Pass,B
STU0294,64,72,79,94,84,6.0,77.25,Pass,B
STU0295,88,72,71,40,50,22.7,67.75,Pass,C
STU0296,69,43,49,100,73,38.7,65.25,Pass,C
STU0297,65,80,55,41,85,18.4,60.25,Pass,C
STU0298,48,99,76,78,55,6.4,75.25,Pass,B
STU0299,99,60,100,39,90,6.1,74.5,Pass,B
STU0300,49,100,58,74,95,18.6,70.25,Pass,B
STU0301,97,100,88,68,93,10.6,88.25,Pass,A
STU0302,74,48,67,44,80,5.8,58.25,Pass,D
STU0303,87,54,62,62,69,31.5,66.25,Pass,C
STU0304,60,99,100,82,73,21.0,85.25,Pass,A
STU0305,100,68,100,95,74,15.1,90.75,Pass,A
STU0306,52,77,83,78,85,36.5,72.5,Pass,B
STU0307,53,74,100,100,70,9.1,81.75,Pass,A
STU0308,58,47,78,73,79,38.5,64.0,Pass,C
STU0309,54,64,100,84,73,16.0,75.5,Pass,B
STU0310,100,100,77,97,93,36.1,93.5,Pass,A
STU0311,75,46,100,100,91,26.1,80.25,Pass,A
STU0312,100,83,83,71,79,33.9,84.25,Pass,A
STU0313,94,60,69,96,71,39.4,79.75,Pass,B
STU0314,64,78,100,53,77,15.1,73.75,Pass,B
STU0315,100,79,65,52,56,38.6,74.0,Pass,B
STU0316,100,54,100,56,84,18.6,77.5,Pass,B
STU0317,100,71,100,54,77,18.5,81.25,Pass,A
STU0318,60,88,57,49,63,16.9,63.5,Pass,C
STU0319,97,76,54,46,59,23.9,68.25,Pass,C
STU0320,95,60,61,39,65,10.4,63.75,Pass,C
STU0321,89,100,59,54,65,24.4,75.5,Pass,B
STU0322,93,55,54,69,80,24.0,67.75,Pass,C
STU0323,86,67,100,64,91,31.7,79.25,Pass,B
STU0324,100,58,68,46,74,34.2,68.0,Pass,C
STU0325,54,100,91,100,62,20.4,86.25,Pass,A
STU0326,91,89,53,66,55,15.6,74.75,Pass,B
STU0327,100,91,100,59,93,14.1,87.5,Pass,A
STU0328,45,75,85,100,58,11.8,76.25,Pass,B
STU0329,92,90,71,59,94,7.0,78.0,Pass,B
STU0330,100,100,79,70,85,17.0,87.25,Pass,A
STU0331,46,46,95,71,92,14.5,64.5,Pass,C
STU0332,100,100,53,57,69,38.8,77.5,Pass,B
STU0333,46,46,72,76,67,24.5,60.0,Pass,C
STU0334,88,91,55,53,92,17.2,71.75,Pass,B
STU0335,96,81,76,75,70,25.3,82.0,Pass,A
STU0336,76,99,43,58,53,9.9,69.0,Pass,C
STU0337,95,56,78,100,99,20.5,82.25,Pass,A
STU0338,58,70,96,42,82,26.9,66.5,Pass,C
STU0339,54,72,100,100,76,22.1,81.5,Pass,A
STU0340,68,64,66,100,56,19.1,74.5,Pass,B
STU0341,61,76,91,92,55,39.8,80.0,Pass,A
STU0342,59,69,74,100,64,35.8,75.5,Pass,B
STU0343,100,77,47,62,67,26.8,71.5,Pass,B
STU0344,61,97,57,65,81,24.9,70.0,Pass,B
STU0345,98,66,81,100,60,26.7,86.25,Pass,A
STU0346,93,92,55,91,69,12.0,82.75,Pass,A
STU0347,100,72,71,44,73,18.8,71.75,Pass,B
STU0348,59,100,67,70,64,6.4,74.0,Pass,B
STU0349,52,100,78,62,97,21.6,73.0,Pass,B
STU0350,51,48,43,80,56,24.0,55.5,Pass,D
STU0351,39,42,87,51,70,13.0,54.75,Pass,D
STU0352,100,81,71,100,91,38.7,88.0,Pass,A
STU0353,44,55,74,53,75,36.8,56.5,Pass,D
STU0354,78,73,100,90,93,30.3,85.25,Pass,A
STU0355,88,85,98,80,63,23.7,87.75,Pass,A
STU0356,45,94,69,80,86,35.4,72.0,Pass,B
STU0357,53,93,86,81,70,9.6,78.25,Pass,B
STU0358,100,55,100,75,67,32.7,82.5,Pass,A
STU0359,100,64,43,65,54,9.4,68.0,Pass,C
STU0360,100,47,62,69,52,32.8,69.5,Pass,C
STU0361,100,43,98,43,72,14.7,71.0,Pass,B
STU0362,65,70,100,100,75,35.7,83.75,Pass,A
STU0363,100,90,51,49,86,38.0,72.5,Pass,B
STU0364,64,100,41,88,73,10.2,73.25,Pass,B
STU0365,59,86,100,54,98,21.2,74.75,Pass,B
STU0366,94,43,84,56,68,39.3,69.25,Pass,C
STU0367,97,66,58,59,74,21.9,70.0,Pass,B
STU0368,72,77,80,75,70,35.2,76.0,Pass,B
STU0369,100,74,100,100,61,25.6,93.5,Pass,A
STU0370,88,66,79,41,90,18.1,68.5,Pass,C
STU0371,100,82,100,73,82,15.0,88.75,Pass,A
STU0372,100,67,68,59,99,12.1,73.5,Pass,B
STU0373,56,100,67,48,53,31.7,67.75,Pass,C
STU0374,89,60,56,64,91,18.5,67.25,Pass,C
STU0375,78,49,59,100,56,22.9,71.5,Pass,B
STU0376,73,77,58,63,71,22.2,67.75,Pass,C
STU0377,65,46,72,94,82,25.2,69.25,Pass,C
STU0378,52,63,100,73,66,35.3,72.0,Pass,B
STU0379,100,89,93,77,73,39.3,89.75,Pass,A
STU0380,75,86,60,53,83,19.3,68.5,Pass,C
STU0381,95,53,99,100,77,34.0,86.75,Pass,A
STU0382,54,55,55,96,92,31.8,65.0,Pass,C
STU0383,62,100,73,92,90,25.1,81.75,Pass,A
STU0384,100,100,95,45,88,38.5,85.0,Pass,A
STU0385,39,80,90,77,71,12.0,71.5,Pass,B
STU0386,100,100,45,44,98,8.8,72.25,Pass,B
STU0387,46,45,100,65,66,34.9,64.0,Pass,C
STU0388,57,77,88,52,83,20.4,68.5,Pass,C
STU0389,65,70,97,47,55,34.6,69.75,Pass,C
STU0390,47,52,73,64,95,36.3,59.0,Pass,D
STU0391,67,86,97,100,55,7.2,87.5,Pass,A
STU0392,68,71,50,67,83,35.9,64.0,Pass,C
STU0393,50,77,60,100,50,20.7,71.75,Pass,B
STU0394,89,79,87,82,59,22.9,84.25,Pass,A
STU0395,76,51,59,99,70,26.9,71.25,Pass,B
STU0396,74,63,69,52,54,37.4,64.5,Pass,C
STU0397,68,35,53,66,51,5.7,55.5,Pass,D
STU0398,100,85,51,51,71,21.7,71.75,Pass,B
STU0399,95,64,85,72,97,29.1,79.0,Pass,B
STU0400,83,74,90,58,51,30.3,76.25,Pass,B
STU0401,52,93,100,56,59,29.2,75.25,Pass,B
STU0402,100,95,100,97,83,9.7,98.0,Pass,A
STU0403,100,38,42,99,65,15.5,69.75,Pass,C
STU0404,75,100,56,45,97,17.6,69.0,Pass,C
STU0405,84,96,100,74,88,33.2,88.5,Pass,A
STU0406,82,93,62,80,71,14.8,79.25,Pass,B
STU0407,81,76,57,38,61,12.4,63.0,Pass,C
STU0408,73,57,100,100,73,38.5,82.5,Pass,A
STU0409,52,60,79,60,96,5.3,62.75,Pass,C
STU0410,57,90,81,74,89,39.9,75.5,Pass,B
STU0411,89,95,57,46,87,28.7,71.75,Pass,B
STU0412,43,49,89,73,59,34.0,63.5,Pass,C
STU0413,75,91,75,48,84,15.3,72.25,Pass,B
STU0414,47,96,83,39,98,5.5,66.25,Pass,C
STU0415,69,67,54,52,81,30.8,60.5,Pass,C
STU0416,75,80,55,89,56,34.2,74.75,Pass,B
STU0417,49,75,96,71,70,30.9,72.75,Pass,B
STU0418,100,100,80,92,69,10.0,93.0,Pass,A
STU0419,100,66,62,49,75,31.4,69.25,Pass,C
STU0420,69,77,89,59,53,31.9,73.5,Pass,B
STU0421,80,44,79,69,95,28.0,68.0,Pass,C
STU0422,63,47,99,100,71,31.8,77.25,Pass,B
STU0423,78,74,65,47,64,34.6,66.0,Pass,C
STU0424,53,58,79,56,89,26.5,61.5,Pass,C
STU0425,61,80,79,40,70,8.1,65.0,Pass,C
STU0426,100,97,74,42,64,22.1,78.25,Pass,B
STU0427,86,88,41,76,71,7.7,72.75,Pass,B
STU0428,76,93,76,55,77,19.3,75.0,Pass,B
STU0429,63,62,71,89,63,19.2,71.25,Pass,B
STU0430,61,62,72,88,76,7.3,70.75,Pass,B
STU0431,100,92,70,75,90,17.2,84.25,Pass,A
STU0432,76,100,63,75,89,8.9,78.5,Pass,B
STU0433,55,74,100,91,77,33.3,80.0,Pass,A
STU0434,99,91,85,100,75,38.2,93.75,Pass,A
STU0435,53,68,88,100,98,7.5,77.25,Pass,B
STU0436,64,100,59,100,51,38.4,80.75,Pass,A
STU0437,71,61,87,46,74,23.3,66.25,Pass,C
STU0438,54,62,88,62,52,15.5,66.5,Pass,C
STU0439,98,63,98,48,57,7.7,76.75,Pass,B
STU0440,55,90,100,45,93,22.5,72.5,Pass,B
STU0441,100,91,53,96,82,32.8,85.0,Pass,A
STU0442,63,62,56,43,91,29.7,56.0,Pass,D
STU0443,87,100,46,98,84,6.8,82.75,Pass,A
STU0444,48,96,69,55,55,7.6,67.0,Pass,C
STU0445,100,89,85,60,88,19.1,83.5,Pass,A
STU0446,58,39,49,47,72,15.3,48.25,Pass,F
STU0447,48,51,91,95,74,13.1,71.25,Pass,B
STU0448,69,92,100,78,99,14.8,84.75,Pass,A
STU0449,96,99,100,47,92,33.1,85.5,Pass,A
STU0450,59,100,53,100,68,37.5,78.0,Pass,B
STU0451,100,69,44,49,54,19.2,65.5,Pass,C
STU0452,54,70,51,93,60,36.7,67.0,Pass,C
STU0453,63,66,98,81,61,16.3,77.0,Pass,B
STU0454,91,87,63,69,59,21.7,77.5,Pass,B
STU0455,90,81,65,71,57,12.9,76.75,Pass,B
STU0456,64,70,47,99,73,27.4,70.0,Pass,B
STU0457,60,58,89,53,77,39.3,65.0,Pass,C
STU0458,100,81,100,100,90,26.1,95.25,Pass,A
STU0459,80,59,57,59,85,17.5,63.75,Pass,C
STU0460,96,59,58,92,86,27.7,76.25,Pass,B
STU0461,79,38,51,91,70,9.3,64.75,Pass,C
STU0462,99,87,57,66,57,36.1,77.25,Pass,B
STU0463,78,100,66,100,58,22.6,86.0,Pass,A
STU0464,56,79,90,74,96,20.7,74.75,Pass,B
STU0465,45,90,62,90,64,25.5,71.75,Pass,B
STU0466,79,100,100,93,97,26.9,93.0,Pass,A
STU0467,58,43,87,66,95,7.5,63.5,Pass,C
STU0468,52,43,54,79,89,28.9,57.0,Pass,D
STU0469,96,45,93,78,67,13.5,78.0,Pass,B
STU0470,61,71,100,62,91,30.0,73.5,Pass,B
STU0471,49,95,77,82,69,33.8,75.75,Pass,B
STU0472,87,42,94,52,55,33.1,68.75,Pass,C
STU0473,52,70,86,100,61,24.3,77.0,Pass,B
STU0474,78,47,100,54,51,23.2,69.75,Pass,C
STU0475,78,70,56,44,56,10.0,62.0,Pass,C
STU0476,50,95,66,80,65,32.1,72.75,Pass,B
STU0477,87,68,75,36,52,14.5,66.5,Pass,C
